"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","280.27","278.78","280.58","277.93","","0.43%"
"09/30/2025","279.08","277.68","279.08","276.70","","0.41%"
"09/29/2025","277.94","278.09","278.82","276.81","","0.33%"
"09/28/2025","277.02","276.43","277.02","277.02","","0.00%"
"09/26/2025","277.02","276.43","277.64","275.01","","0.68%"
"09/25/2025","275.16","277.57","277.65","274.87","","-0.90%"
"09/24/2025","277.67","279.99","279.99","277.56","","-1.11%"
"09/23/2025","280.78","279.11","281.47","278.77","","0.78%"
"09/22/2025","278.62","279.33","279.61","277.98","","-0.17%"
"09/21/2025","279.10","279.13","279.10","279.10","","0.00%"
"09/19/2025","279.10","279.13","280.58","278.21","","0.08%"
"09/18/2025","278.88","277.62","279.76","277.62","","0.86%"
"09/17/2025","276.49","276.90","277.92","276.49","","0.12%"
"09/16/2025","276.17","279.04","280.11","276.10","","-0.89%"
"09/15/2025","278.64","278.98","280.95","278.14","","0.18%"
"09/12/2025","278.15","278.55","279.43","277.57","","0.02%"
"09/11/2025","278.10","277.80","278.97","276.33","","0.23%"
"09/10/2025","277.46","279.36","279.66","277.29","","-0.22%"
"09/09/2025","278.08","278.63","280.06","277.27","","-0.25%"
"09/08/2025","278.78","278.56","278.85","277.03","","0.50%"
"09/05/2025","277.38","276.63","278.76","276.49","","0.85%"
"09/04/2025","275.04","274.39","275.77","274.34","","0.23%"
"09/03/2025","274.40","273.89","275.64","273.02","","0.73%"
"09/02/2025","272.40","278.56","278.79","272.40","","-2.18%"
"09/01/2025","278.46","278.52","279.69","277.99","","0.17%"
"08/29/2025","277.98","279.16","280.15","277.88","","-0.77%"
"08/28/2025","280.13","281.32","282.27","279.71","","-0.13%"
"08/27/2025","280.50","281.74","281.79","279.58","","-0.32%"
"08/26/2025","281.41","281.76","282.88","281.18","","-0.52%"
"08/25/2025","282.89","284.00","284.67","282.74","","-0.71%"
"08/22/2025","284.92","279.94","284.95","279.94","","1.68%"
"08/21/2025","280.21","280.80","281.18","279.49","","-0.33%"
"08/20/2025","281.13","280.21","281.75","279.80","","-0.18%"
"08/19/2025","281.63","278.56","281.97","277.97","","1.38%"
"08/18/2025","277.79","279.48","279.56","277.15","","-0.45%"
"08/15/2025","279.04","280.13","280.19","278.84","","0.23%"
"08/14/2025","278.41","276.98","278.92","276.80","","0.49%"
"08/13/2025","277.04","277.58","277.71","276.21","","0.04%"
"08/12/2025","276.92","276.96","277.52","275.72","","0.48%"
"08/11/2025","275.60","277.64","277.82","275.53","","-0.52%"
"08/08/2025","277.05","276.96","277.76","276.32","","0.24%"
"08/07/2025","276.38","274.13","277.38","274.08","","1.13%"
"08/06/2025","273.30","274.69","275.73","272.75","","-0.02%"
"08/05/2025","273.36","273.67","274.24","272.61","","0.50%"
"08/04/2025","272.01","271.46","272.06","270.59","","0.73%"
"08/01/2025","270.04","271.75","272.44","268.76","","-1.74%"
"07/31/2025","274.81","278.27","279.01","274.75","","-1.09%"
"07/30/2025","277.85","277.66","279.80","277.37","","-0.13%"
"07/29/2025","278.20","278.20","280.51","277.90","","0.22%"
"07/28/2025","277.58","282.82","282.92","276.92","","-0.66%"
"07/27/2025","279.43","278.45","279.43","279.43","","0.00%"
"07/25/2025","279.43","278.45","279.43","277.34","","0.18%"
"07/24/2025","278.92","279.90","280.95","278.59","","0.37%"
"07/23/2025","277.89","275.47","278.24","275.47","","1.90%"
"07/22/2025","272.71","274.18","274.24","272.27","","-0.63%"
"07/21/2025","274.43","274.55","275.46","273.83","","0.20%"
"07/18/2025","273.88","277.42","278.63","273.63","","-0.72%"
"07/17/2025","275.88","273.98","276.80","273.98","","1.57%"
"07/16/2025","271.62","272.69","274.14","271.46","","-0.81%"
"07/15/2025","273.84","274.43","276.24","273.84","","0.03%"
"07/14/2025","273.77","273.28","274.18","272.69","","-0.53%"
"07/11/2025","275.23","277.64","277.64","275.15","","-1.30%"
"07/10/2025","278.86","275.27","278.86","275.14","","1.62%"
"07/09/2025","274.42","273.29","275.34","272.07","","0.57%"
"07/08/2025","272.86","272.36","272.86","270.62","","0.24%"
"07/07/2025","272.21","272.56","272.61","271.46","","-0.09%"
"07/04/2025","272.45","272.93","272.96","271.30","","-0.54%"
"07/03/2025","273.94","273.31","274.97","273.18","","0.52%"
"07/02/2025","272.51","270.63","272.73","269.85","","1.17%"
"07/01/2025","269.37","269.30","270.08","266.95","","-0.02%"
"06/30/2025","269.43","272.40","272.59","268.79","","-0.73%"
"06/27/2025","271.42","267.66","271.42","267.66","","2.23%"
"06/26/2025","265.50","265.01","265.90","264.08","","0.49%"
"06/25/2025","264.20","265.88","266.94","264.00","","-0.21%"
"06/24/2025","264.75","267.08","268.35","264.56","","1.18%"
"06/23/2025","261.66","262.06","263.53","260.65","","-0.41%"
"06/19/2025","262.75","263.02","264.36","262.75","","-0.62%"
"06/18/2025","264.40","264.48","265.06","263.16","","-0.02%"
"06/17/2025","264.45","265.15","266.09","264.09","","-0.91%"
"06/16/2025","266.88","264.62","267.43","264.44","","1.04%"
"06/13/2025","264.12","263.34","265.10","263.34","","-1.13%"
"06/12/2025","267.15","268.29","268.71","266.21","","-0.98%"
"06/11/2025","269.79","271.39","272.25","269.79","","-0.59%"
"06/10/2025","271.40","271.06","271.90","270.48","","0.03%"
"06/09/2025","271.31","271.97","273.14","271.23","","-0.09%"
"06/07/2025","271.56","270.55","271.56","271.56","","0.00%"
"06/05/2025","271.56","270.55","272.32","269.79","","0.47%"
"06/04/2025","270.30","268.57","270.55","268.23","","1.12%"
"06/03/2025","267.30","267.94","268.12","265.47","","0.05%"
"06/02/2025","267.16","267.27","268.19","265.17","","-0.53%"
"05/30/2025","268.59","268.34","270.65","267.22","","-0.33%"
"05/28/2025","269.49","269.87","270.48","268.82","","-0.27%"
"05/27/2025","270.21","269.63","271.60","269.51","","0.16%"
"05/26/2025","269.77","269.41","270.11","268.77","","1.47%"
"05/23/2025","265.87","269.21","271.05","262.13","","-0.94%"
"05/22/2025","268.38","272.72","273.02","267.50","","-2.21%"
"05/21/2025","274.44","274.89","274.89","271.82","","-0.57%"
"05/20/2025","276.01","275.43","276.32","273.82","","0.35%"
"05/19/2025","275.04","274.16","275.08","272.36","","0.11%"
"05/16/2025","274.75","275.52","276.93","273.81","","-0.07%"
"05/15/2025","274.95","272.17","275.02","271.58","","0.73%"
"05/14/2025","272.97","273.95","274.53","272.42","","-0.36%"
"05/13/2025","273.95","273.48","274.64","272.68","","0.07%"
"05/12/2025","273.77","268.33","274.45","268.33","","2.96%"
"05/09/2025","265.90","266.50","267.21","264.92","","0.06%"
"05/08/2025","265.73","264.45","267.22","264.45","","0.66%"
"05/07/2025","263.99","263.47","264.80","262.95","","0.05%"
"05/06/2025","263.85","266.80","266.80","262.21","","-1.20%"
"05/05/2025","267.05","266.86","267.33","265.78","","0.04%"
"05/02/2025","266.93","266.00","267.40","264.93","","1.14%"
"04/30/2025","263.92","261.44","263.92","259.71","","1.20%"
"04/29/2025","260.78","262.40","262.66","260.13","","-0.42%"
"04/28/2025","261.87","262.42","263.61","261.50","","-0.09%"
"04/25/2025","262.10","261.19","262.89","260.43","","0.92%"
"04/24/2025","259.70","257.82","259.83","256.97","","0.29%"
"04/23/2025","258.96","257.96","261.27","257.32","","1.57%"
"04/22/2025","254.96","253.34","254.96","250.81","","0.58%"
"04/17/2025","253.48","255.01","255.20","252.61","","-0.74%"
"04/16/2025","255.36","255.17","255.36","252.69","","-0.85%"
"04/15/2025","257.54","252.58","257.55","252.34","","2.25%"
"04/14/2025","251.88","249.43","252.36","248.49","","2.75%"
"04/11/2025","245.15","245.65","246.06","239.01","","0.07%"
"04/10/2025","244.97","236.72","254.55","236.58","","4.86%"
"04/09/2025","233.62","233.04","236.72","229.86","","-3.20%"
"04/08/2025","241.34","240.25","244.60","237.54","","2.31%"
"04/07/2025","235.88","240.98","248.53","228.51","","-4.89%"
"04/04/2025","248.02","257.82","259.28","244.76","","-4.29%"
"04/03/2025","259.14","261.86","264.49","258.36","","-3.59%"
"04/02/2025","268.79","269.47","269.99","264.36","","-0.93%"
"04/01/2025","271.31","270.34","271.99","269.09","","0.92%"
"03/31/2025","268.83","270.92","270.92","267.80","","-1.74%"
"03/28/2025","273.59","274.80","275.96","272.24","","-0.91%"
"03/27/2025","276.11","277.20","277.20","273.96","","-1.20%"
"03/26/2025","279.45","284.38","284.38","279.19","","-1.49%"
"03/25/2025","283.68","282.80","283.80","280.64","","0.28%"
"03/24/2025","282.90","284.73","284.74","281.71","","0.07%"
"03/21/2025","282.70","285.24","285.39","281.65","","-1.43%"
"03/20/2025","286.80","287.70","288.89","284.35","","-0.23%"
"03/19/2025","287.45","286.31","287.82","285.91","","0.06%"
"03/18/2025","287.29","288.14","289.42","286.18","","0.12%"
"03/17/2025","286.94","286.57","287.62","285.80","","0.16%"
"03/14/2025","286.47","282.51","286.50","282.17","","1.64%"
"03/13/2025","281.85","281.89","284.04","279.60","","-0.35%"
"03/12/2025","282.84","283.80","285.64","280.97","","0.39%"
"03/11/2025","281.73","288.67","289.23","281.38","","-2.12%"
"03/10/2025","287.83","291.12","291.50","287.46","","-1.04%"
"03/07/2025","290.85","288.72","291.42","286.73","","-0.09%"
"03/06/2025","291.12","293.35","293.35","287.24","","-0.17%"
"03/05/2025","291.63","289.99","293.36","289.91","","2.05%"
"03/04/2025","285.77","292.81","292.81","285.77","","-3.31%"
"03/03/2025","295.54","294.40","297.57","293.58","","0.52%"
"02/28/2025","294.00","293.52","294.87","292.74","","-0.52%"
"02/27/2025","295.54","296.99","297.75","294.34","","-0.96%"
"02/26/2025","298.40","296.77","298.87","296.77","","1.15%"
"02/25/2025","295.00","293.38","296.24","293.38","","0.11%"
"02/24/2025","294.69","296.66","296.66","293.42","","-0.41%"
"02/21/2025","295.90","297.20","298.89","295.34","","-0.25%"
"02/20/2025","296.64","295.97","297.95","295.71","","0.38%"
"02/19/2025","295.53","301.29","301.29","295.26","","-1.88%"
"02/18/2025","301.20","300.53","301.44","299.21","","0.42%"
"02/17/2025","299.95","297.81","299.96","297.41","","0.74%"
"02/14/2025","297.76","298.11","298.76","297.50","","-0.12%"
"02/13/2025","298.13","295.32","298.13","294.80","","1.65%"
"02/12/2025","293.30","293.32","294.57","291.93","","0.24%"
"02/11/2025","292.60","291.89","292.73","291.14","","0.14%"
"02/10/2025","292.18","290.71","292.50","290.68","","0.73%"
"02/07/2025","290.06","292.61","292.88","289.72","","-0.84%"
"02/06/2025","292.52","289.89","292.99","289.03","","1.39%"
"02/05/2025","288.50","287.28","288.50","286.28","","0.02%"
"02/04/2025","288.43","288.65","288.65","284.65","","0.12%"
"02/03/2025","288.07","285.57","288.41","284.51","","-1.34%"
"01/31/2025","291.97","292.43","293.13","291.57","","0.09%"
"01/30/2025","291.72","290.57","291.74","290.07","","0.62%"
"01/29/2025","289.91","288.58","290.53","288.58","","0.86%"
"01/28/2025","287.45","288.83","290.35","287.31","","-0.15%"
"01/27/2025","287.87","286.29","288.28","285.80","","-0.67%"
"01/24/2025","289.80","291.76","292.28","289.15","","-0.22%"
"01/23/2025","290.45","288.39","290.45","286.70","","1.20%"
"01/22/2025","287.01","286.70","288.64","286.17","","0.44%"
