"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2025","1,189.59","1,188.97","1,195.75","1,188.51","","0.21%"
"12/12/2025","1,187.09","1,184.55","1,195.54","1,182.88","","0.33%"
"12/11/2025","1,183.16","1,170.11","1,186.50","1,168.23","","1.49%"
"12/10/2025","1,165.80","1,170.44","1,172.83","1,163.87","","-0.26%"
"12/09/2025","1,168.79","1,165.61","1,171.93","1,165.61","","0.31%"
"12/08/2025","1,165.20","1,172.15","1,175.43","1,164.98","","-0.56%"
"12/05/2025","1,171.80","1,166.49","1,179.35","1,166.49","","0.08%"
"12/04/2025","1,170.84","1,160.87","1,173.07","1,160.87","","0.98%"
"12/03/2025","1,159.52","1,163.06","1,168.54","1,155.50","","-0.12%"
"12/02/2025","1,160.95","1,168.11","1,171.00","1,159.43","","-0.66%"
"12/01/2025","1,168.68","1,171.37","1,177.28","1,165.36","","-0.54%"
"11/28/2025","1,175.00","1,159.59","1,175.00","1,159.59","","1.45%"
"11/27/2025","1,158.24","1,150.45","1,161.85","1,150.45","","1.11%"
"11/26/2025","1,145.50","1,149.36","1,152.23","1,140.60","","-0.03%"
"11/25/2025","1,145.84","1,143.00","1,150.05","1,140.99","","0.25%"
"11/24/2025","1,142.93","1,136.23","1,144.75","1,133.49","","0.75%"
"11/21/2025","1,134.38","1,143.75","1,144.18","1,132.22","","-1.45%"
"11/20/2025","1,151.04","1,141.09","1,154.90","1,141.09","","1.60%"
"11/19/2025","1,132.86","1,137.97","1,141.80","1,129.71","","-0.08%"
"11/18/2025","1,133.80","1,148.00","1,148.00","1,133.80","","-1.51%"
"11/17/2025","1,151.22","1,154.86","1,164.68","1,151.22","","-0.26%"
"11/14/2025","1,154.19","1,163.71","1,163.84","1,144.62","","-1.11%"
"11/13/2025","1,167.18","1,167.43","1,180.02","1,166.57","","0.10%"
"11/12/2025","1,165.99","1,160.90","1,168.95","1,160.24","","0.53%"
"11/11/2025","1,159.88","1,165.15","1,166.16","1,158.52","","-0.68%"
"11/10/2025","1,167.85","1,169.75","1,178.52","1,165.60","","0.25%"
"11/07/2025","1,164.90","1,169.94","1,171.75","1,160.14","","-0.44%"
"11/06/2025","1,170.09","1,179.62","1,182.16","1,168.68","","-0.77%"
"11/05/2025","1,179.20","1,179.50","1,184.77","1,178.56","","-0.56%"
"11/04/2025","1,185.89","1,195.66","1,195.73","1,185.84","","-0.91%"
